handaxe_number,Area,BX,BY,Width,Height
3837,21.477,0,0,3.796,5.658
3891,17.19,0,0,3.368,5.104
4478,17.501,0,0,3.184,5.497
4577,21.851,0,0,3.694,5.915
6110,19.284,0,0,3.514,5.488
6207,16.169,0,0,3.261,4.958
6310,21.174,0,0,3.733,5.672
6706,15.052,0,0,2.897,5.196
6718,13.815,0,0,2.945,4.69
6856,22.771,0,0,3.806,5.983
6877,18.291,0,0,3.339,5.478
7097,15.104,0,0,3.077,4.909
7162,7.834,0,0,2.202,3.558
7383,21.633,0,0,3.781,5.721
7474,13.006,0,0,2.931,4.438
7698,25.375,0,0,3.684,6.887
7746,12.735,0,0,3.057,4.165
7815,20.24,0,0,3.553,5.697
7910,20.04,0,0,3.291,6.09
7924,15.27,0,0,3.145,4.856
7978,10.926,0,0,2.741,3.986
8175,16.462,0,0,3.159,5.21
8186,14.957,0,0,3.086,4.846
8423,10.591,0,0,2.717,3.898
8429,11.945,0,0,3.072,3.888
8474,17.521,0,0,3.427,5.113
8490,13.176,0,0,2.839,4.642
8641,10.324,0,0,2.581,4
9042,12.985,0,0,2.945,4.408
9058,12.093,0,0,2.746,4.404
9102,10.748,0,0,2.571,4.18
9443,12.062,0,0,2.965,4.068
9460,14.249,0,0,2.897,4.919
9766,13.529,0,0,3.174,4.263
9805,11.173,0,0,2.727,4.097
10351,25.23,0,0,4.059,6.217
11714,22.054,0,0,3.772,5.847
11847,14.016,0,0,2.945,4.758
12030,11.777,0,0,2.805,4.199
12109,8.485,0,0,2.469,3.436
12154,5.869,0,0,2.168,2.707
12361,18.377,0,0,3.291,5.585
12418,25.276,0,0,4.17,6.061
12717,22.281,0,0,3.811,5.847
12796,7.319,0,0,2.231,3.281
12876,21.248,0,0,3.689,5.76
12878,10.444,0,0,2.586,4.039
13192,19.924,0,0,3.368,5.915
13203,6.175,0,0,2.202,2.805
13850,9.902,0,0,2.493,3.971
13859,16.798,0,0,3.203,5.244
30762,18.302,0,0,3.48,5.259
30853,22.85,0,0,3.616,6.319
30854,10.421,0,0,2.673,3.898
30856,18.953,0,0,3.388,5.594
30858,21.55,0,0,3.767,5.721
30862,16.832,0,0,3.106,5.419
30864,15.695,0,0,3.004,5.225
30872,8.178,0,0,2.289,3.572
30956,16.961,0,0,3.237,5.24
31165,15.876,0,0,3.096,5.128
31641,7.873,0,0,2.207,3.568
