Subject,assessment,Score,Knapping Hours,Type,Starting_Weight,Weight
1,1,2,0,1,1869,507
1,2,1,12,3,1283,1235
1,5,3,47,1,1221,266
1,6,4,59,1,981,239
1,7,3,71,1,1900,335
1,8,3,82,1,1882,665
1,9,4,93,1,2331,373
2,1,1,0,1,927,646
2,2,1.5,12,1,975,211
2,3,2.5,24,1,888,181
2,4,2.5,36,1,1116,89
2,5,3.5,47,1,1051,91
2,6,3,59,4,2299,117
2,7,3,71,1,1685,146
2,8,3.5,82,1,1142,58
2,9,3,93,1,1892,99
3,1,2,0,4,623,271
3,2,2,12,1,1167,279
3,3,2.5,24,3,1660,149
3,4,2,36,1,807,80
3,5,4,47,1,1725,140
3,7,3.5,71,1,1210,207
4,1,2,0,1,732,216
5,1,1,0,1,2050,1691
5,2,2.5,12,1,1105,260
5,3,3,24,1,966,184
5,4,3.5,36,1,620,55
5,5,3,47,1,1122,87
5,8,3.5,82,1,835,99
5,9,3,93,4,1802,757
6,1,3,0,3,1404,148
6,2,2.5,12,1,898,166
6,3,3,24,1,821,41
6,5,3.5,47,4,1075,100
6,6,3.5,59,1,2993,600
7,1,1,0,4,1068,307
7,2,3,12,1,1253,271
7,3,3,24,3,2579,272
7,4,3.5,36,1,1332,42
7,5,3.5,47,1,1526,69
7,8,4.5,82,1,2384,155
7,9,4.5,93,1,722,120
8,1,1,0,4,1110,159
8,2,2,12,1,692,135
8,5,3.5,47,1,1097,112
9,1,1,0,1,1977,755
9,2,2,12,1,1059,137
9,3,2.5,24,1,1686,94
9,5,3,47,1,990,133
9,6,3.5,59,1,993,278
9,7,3,71,1,1452,314
9,8,4,82,1,1417,387
9,9,4,93,1,3432,250
10,1,2,0,1,2183,424
10,2,3,12,1,1241,382
10,3,4,24,1,1325,504
10,4,4,36,1,1697,185
10,5,4,47,1,1692,91
10,9,4,86,1,2310,30.6
