Knapper,Experiment,Assessment,End_Weight,Core.Number
1,handaxe,2,1235,1
1,handaxe,1,507,13
1,handaxe,5,266,49
1,handaxe,6,239,60
1,handaxe,7,335,64
1,handaxe,9,373,66
1,handaxe,8,665,70
2,handaxe,1,645,8
2,handaxe,4,89,19
2,handaxe,2,210,27
2,handaxe,3,181,33
2,handaxe,5,91,45
2,handaxe,6,117,52
2,handaxe,7,146,56
2,handaxe,8,58,62
2,handaxe,9,99,73
3,handaxe,1,271,2
3,handaxe,3,149,15
3,handaxe,2,279,18
3,handaxe,4,80,32
3,handaxe,5,140,37
3,handaxe,7,207,41
4,handaxe,1,217,9
5,handaxe,5,87,3
5,handaxe,1,1691,10
5,handaxe,2,260,22
5,handaxe,3,184,29
5,handaxe,4,55,40
5,handaxe,8,99,54
5,handaxe,9,757,68
6,handaxe,1,148,4
6,handaxe,2,166,26
6,handaxe,3,41,35
6,handaxe,5,100,48
6,handaxe,6,600,57
7,handaxe,1,307,7
7,handaxe,3,272,12
7,handaxe,2,271,20
7,handaxe,4,42,24
7,handaxe,5,69,30
7,handaxe,9,120,46
7,handaxe,8,155,53
8,handaxe,1,159,5
8,handaxe,2,135,6
8,handaxe,5,111,50
9,handaxe,1,755,14
9,handaxe,7,314,16
9,handaxe,2,137,25
9,handaxe,3,94,36
9,handaxe,5,132,38
9,handaxe,6,278,51
9,handaxe,9,249,55
9,handaxe,8,387,59
10,handaxe,1,424,11
10,handaxe,5,91,21
10,handaxe,2,382,23
10,handaxe,3,504,28
10,handaxe,4,185,31
10,handaxe,9,305,47
11,handaxe,1,341,17
11,handaxe,2,284,67
11,handaxe,3,280,72
11,handaxe,6,264,80
11,handaxe,4,279,81
11,handaxe,5,170,87
11,handaxe,7,200,128
11,handaxe,8,284,133
11,handaxe,9,155,140
12,handaxe,1,243,75
13,handaxe,1,147,34
13,handaxe,2,1024,58
13,handaxe,3,266,102
13,handaxe,4,490,122
13,handaxe,5,302,127
14,handaxe,3,47,42
14,handaxe,1,36,44
14,handaxe,2,230,65
14,handaxe,4,280,79
14,handaxe,5,230,85
14,handaxe,6,479,96
14,handaxe,7,146,98
14,handaxe,8,331,120
14,handaxe,9,159,139
15,handaxe,2,324,39
15,handaxe,1,1526,63
15,handaxe,3,432,76
15,handaxe,4,304,78
15,handaxe,5,320,89
16,handaxe,4,72,74
16,handaxe,1,644,93
16,handaxe,2,223,99
16,handaxe,3,41,110
16,handaxe,5,93,123
16,handaxe,8,79,135
16,handaxe,6,107,138
16,handaxe,7,92,142
16,handaxe,9,214,145
17,handaxe,2,585,71
17,handaxe,1,483,82
17,handaxe,4,379,94
17,handaxe,3,337,95
17,handaxe,5,251,103
17,handaxe,6,381,108
17,handaxe,7,228,111
19,handaxe,1,897,86
19,handaxe,3,174,88
19,handaxe,2,312,92
19,handaxe,4,181,109
19,handaxe,5,537,112
19,handaxe,6,212,121
19,handaxe,7,147,131
19,handaxe,8,169,134
19,handaxe,9,323,137
20,handaxe,1,596,90
20,handaxe,2,525,104
21,handaxe,1,283,43
21,handaxe,3,113,83
21,handaxe,2,262,91
21,handaxe,4,189,100
21,handaxe,5,247,107
21,handaxe,6,99,116
21,handaxe,7,595,119
21,handaxe,8,433,130
21,handaxe,9,132,136
